,Rounded RMSE,Rounded MSE,Rounded MAE,Accuracy,Log Loss
0,1.7425514804415443,3.0364856619890177,1.366791597664081,0.21605508585374358,1.927733553694129
1,1.766205118178667,3.1194805194805193,1.3802667131526192,0.2282227839274819,1.8075014886827663
2,1.7318092426287972,2.9991632528545282,1.361091257735553,0.20974461779830908,2.0353333925946733
3,1.7593668583759352,3.0953717423516083,1.366687004270897,0.237601324849647,1.7472701217709434
4,1.753630543167942,3.075220081931491,1.3735901682210407,0.21987274470495946,1.8963966632770042
5,1.756376982978488,3.0848601063366163,1.3835788372701123,0.21063366164037306,2.000572005878665
6,1.7518751393766145,3.069066503965833,1.3820796653011418,0.2062581713588425,1.9697234708554867
7,1.7493259276306399,3.0601412010807985,1.3748278567070513,0.21265580057526368,1.941417525374482
8,1.7382496223296933,3.0215117495293216,1.3619691792762012,0.21696534411826232,1.956771779263972
9,1.7383599354918415,3.021895265323199,1.3643051391116379,0.21483857471584966,1.9699407109908977
10,1.7380339900236852,3.0207621504776516,1.3661704204727705,0.21074192873579248,2.002195772592485
AVG,1.7477986218748953,3.054905294120053,1.371032530834828,0.2166900034798659,1.9322596804523187
,,,,,
,,Predicted 1,Predicted 2,Predicted 3,Predicted 4,Predicted 5
AVG,True 1,0.5727899773496827,0.3655786595521823,0.04393584450863631,0.012721656994132436,0.004973861595366414
,True 2,0.25658259334577055,0.5362279379479933,0.16763926758440292,0.03190609362403148,0.007644107497801717
,True 3,0.06635416968655362,0.47095378855561143,0.26816207411479415,0.1593586324432237,0.03517133519981711
,True 4,0.00976655743010883,0.351482785127645,0.14049439656916293,0.4227131124327386,0.07554314844034471
,True 5,0.010508800904707342,0.3430474295423573,0.034575580220843366,0.4979807102980469,0.11388747903404503
0,True 1,0.5809957924263675,0.3576437587657784,0.04523141654978962,0.011220196353436185,0.004908835904628331
,True 2,0.26993416239941476,0.5186539868324799,0.16752011704462327,0.02852962692026335,0.015362106803218726
,True 3,0.07492877492877494,0.4774928774928775,0.26638176638176636,0.15156695156695157,0.02962962962962963
,True 4,0.008544726301735648,0.3517578994214508,0.1405429461504228,0.4296395193591455,0.06951490876724521
,True 5,0.01031223145230593,0.340538006822739,0.032967891461159866,0.5050910132548632,0.11109085700893206
1,True 1,0.5815503332164152,0.35671694142406174,0.043493511048754825,0.011925640126271484,0.006313574184496668
,True 2,0.2631578947368421,0.5138888888888888,0.1834795321637427,0.031432748538011694,0.00804093567251462
,True 3,0.0737891737891738,0.45413105413105415,0.27663817663817664,0.15071225071225072,0.04472934472934473
,True 4,0.009167779261237205,0.36128170894526035,0.145260347129506,0.3926123720516244,0.09167779261237205
,True 5,0.009296632900184891,0.3569177885992552,0.03726465456628734,0.4572276763625947,0.13929324757167783
2,True 1,0.5626096106629253,0.3784636969484391,0.041739740441950196,0.011925640126271484,0.00526131182041389
,True 2,0.2543859649122807,0.5263157894736842,0.18201754385964913,0.02850877192982456,0.008771929824561403
,True 3,0.06267806267806268,0.4720797720797721,0.258974358974359,0.17863247863247864,0.027635327635327635
,True 4,0.010235870048954161,0.3443702714730752,0.13030707610146863,0.4484201157098353,0.06666666666666667
,True 5,0.010416395406369626,0.33415796463633757,0.03049399755214708,0.5269914845967553,0.09794015780839041
3,True 1,0.5864608909154683,0.3454928095405121,0.04805331462644686,0.013328656611715188,0.006664328305857594
,True 2,0.24926900584795322,0.5365497076023392,0.17543859649122806,0.029239766081871343,0.009502923976608187
,True 3,0.06324786324786325,0.4754985754985755,0.28034188034188035,0.14074074074074075,0.040170940170940174
,True 4,0.011303960836671118,0.3578994214508233,0.15024477080551846,0.3811303960836671,0.09942145082331998
,True 5,0.01031223145230593,0.3514231400223953,0.03940001562459311,0.44371240332283013,0.15515220957787557
4,True 1,0.5584005612065942,0.3774114345843564,0.04419501929147668,0.014731673097158891,0.00526131182041389
,True 2,0.24049707602339182,0.5635964912280702,0.15497076023391812,0.03216374269005848,0.008771929824561403
,True 3,0.0603988603988604,0.49002849002849,0.2623931623931624,0.15213675213675212,0.03504273504273504
,True 4,0.011303960836671118,0.3570983533600356,0.13404539385847797,0.416733422340899,0.08081886960391634
,True 5,0.010520559360433323,0.3469961719746882,0.03275956355303247,0.48871123147834694,0.12101247363349912
5,True 1,0.5843563661873027,0.35566467905997895,0.04033672395650649,0.01683619782532445,0.0028060329708874078
,True 2,0.2595029239766082,0.5423976608187134,0.15789473684210525,0.035818713450292396,0.0043859649122807015
,True 3,0.0584045584045584,0.4658119658119658,0.2692307692307692,0.17207977207977207,0.03447293447293447
,True 4,0.010235870048954161,0.35149087672452156,0.14161103693813973,0.42456608811748997,0.07209612817089453
,True 5,0.01005182156714669,0.34788156558422956,0.03671779380745293,0.5022265045181115,0.1031223145230593
6,True 1,0.5678709224833391,0.3668888109435286,0.04840406874780779,0.012627148368993335,0.004209049456331112
,True 2,0.24415204678362573,0.5387426900584795,0.17105263157894737,0.03874269005847953,0.007309941520467836
,True 3,0.06438746438746439,0.4777777777777778,0.2623931623931624,0.16011396011396012,0.035327635327635325
,True 4,0.009523809523809525,0.3558522474410325,0.14125500667556742,0.4370271473075211,0.05634178905206943
,True 5,0.011327830004426968,0.34225671206478997,0.033280383323350954,0.5182156714668888,0.09491940314054322
7,True 1,0.5629603647842862,0.3732023851280252,0.047351806383725006,0.012977902490354262,0.00350754121360926
,True 2,0.2565789473684211,0.5190058479532164,0.1834795321637427,0.03216374269005848,0.008771929824561403
,True 3,0.05925925925925926,0.45783475783475786,0.27834757834757834,0.16951566951566951,0.03504273504273504
